Type,ID,Name,Description,MaxLevel,Cost1,Cost2,Cost3,Cost4,Cost5,Value1,Value2,Value3,Value4,Value5,GridX,GridY,ConnectID,ConnectM
301,101,CircleAtk,Increase Attack by {0},5,1,3,10,35,120,1,1,1,2,2,0,0,0,0
101,102,GamePlayTime,Increase Play Time by {0}s,5,10,25,70,200,600,1,1,1,2,2,1,1,101,0
102,103,GameGoldGain,Increase Gold Gain by {0}%,5,10,30,90,250,750,0.1,0.1,0.1,0.1,0.1,-1,1,101,0
304,104,CircleCritical,Increase Critical Chance by {0}%,5,5,15,45,130,400,1,1,1,2,2,1,-1,101,0
104,105,GameMonsterLevel,Increase Monster Level by {0},1,20,0,0,0,0,1,0,0,0,0,0,-4,101,1
201,106,CenterHP,Increase Center HP by {0},5,5,15,50,150,500,20,30,45,65,100,-1,-5,105,0
202,107,CenterDefense,Increase Center Defense by {0},5,5,15,50,160,500,1,1,1,2,2,1,-5,105,0
301,108,CircleAtk,Increase Attack by {0},5,400,1000,2500,6000,15000,3,4,6,8,12,5,0,101,0
102,109,GameGoldGain,Increase Gold Gain by {0}%,5,2000,5500,15000,40000,100000,0.2,0.2,0.3,0.3,0.4,6,1,108,0
101,110,GamePlayTime,Increase Play Time by {0}s,5,2500,7000,20000,55000,150000,3,3,4,5,7,4,1,108,0
302,111,CircleAtkDelay,Reduce Attack Delay by {0}s,5,1200,3000,8000,22000,60000,-0.01,-0.01,-0.02,-0.02,-0.03,5,-1,108,0
104,112,GameMonsterLevel,Increase Monster Level by {0},1,2000,0,0,0,0,1,0,0,0,0,10,0,108,1
301,113,CircleAtk,Increase Attack by {0},5,45000,120000,320000,850000,2500000,18,25,35,50,70,15,0,112,0
102,114,GameGoldGain,Increase Gold Gain by {0}%,5,300000,850000,2500000,7000000,20000000,0.6,0.8,1.1,1.5,2,16,1,113,0
303,115,CircleRadius,Increase Attack Radius by {0},5,2500,7000,20000,60000,180000,0.02,0.02,0.03,0.04,0.05,14,1,113,0
305,116,CircleCriticalDam,Increase Critical Damage by {0}x,5,1000000,3500000,12000000,45000000,180000000,0.05,0.1,0.15,0.25,0.4,15,-1,113,0
104,117,GameMonsterLevel,Increase Monster Level by {0},1,150000,0,0,0,0,1,0,0,0,0,20,0,112,1
301,118,CircleAtk,Increase Attack by {0},5,8000000,22000000,60000000,180000000,500000000,100,140,200,280,400,25,0,117,0
102,119,GameGoldGain,Increase Gold Gain by {0}%,5,50000000,150000000,450000000,1400000000,5000000000,3,4,6,8,12,26,1,118,0
101,120,GamePlayTime,Increase Play Time by {0}s,5,80000000,250000000,800000000,2500000000,8000000000,50,70,100,140,200,24,1,118,0
302,121,CircleAtkDelay,Reduce Atk Delay by {0}s,5,1500000,4500000,14000000,45000000,150000000,-0.05,-0.05,-0.1,-0.1,-0.15,25,-1,118,0
